overhead_code,trans_text_day,trans_text_night
113,Солнечно,Ясно
116,Переменная облачность,Переменная облачность
119,Облачно,Облачно
122,Пасмурно,Пасмурно
143,Дымка,Дымка
176,Местами дождь,Местами дождь
179,Местами снег,Местами снег
182,Местами дождь со снегом,Местами дождь со снегом
185,Местами замерзающая морось,Местами замерзающая морось
200,Местами грозы,Местами грозы
227,Поземок,Поземок
230,Метель,Метель
248,Туман,Туман
260,Переохлажденный туман,Переохлажденный туман
263,Местами слабая морось,Местами слабая морось
266,Слабая морось,Слабая морось
281,Замерзающая морось,Замерзающая морось
284,Сильная замерзающая морось,Сильная замерзающая морось
293,Местами небольшой дождь,Местами небольшой дождь
296,Небольшой дождь,Небольшой дождь
299,Временами умеренный дождь,Временами умеренный дождь
302,Умеренный дождь,Умеренный дождь
305,Временами сильный дождь,Временами сильный дождь
308,Сильный дождь,Сильный дождь
311,Слабый переохлажденный дождь,Слабый переохлажденный дождь
